"file_path","classification","reason","actually_clean","notes"
"hlf_mcp/hlf/__init__.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_ecosystem_hardening.py","EXPERIMENTAL","4+ hlf_mcp imports (45)","YES",""
"tests/test_orchestration_lifecycle.py","EXPERIMENTAL","4+ hlf_mcp imports (45)","YES",""
"hlf_mcp/hlf/runtime.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/server_context.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_audit_trust_layer.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"hlf_mcp/ecosystem/__init__.py","EXPERIMENTAL","4+ hlf_mcp imports (41)","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/gallery/__init__.py","EXPERIMENTAL","4+ hlf_mcp imports (40)","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_typed_effect_hardening.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_knowledge_substrate_hardening.py","EXPERIMENTAL","4+ hlf_mcp imports (36)","YES",""
"tests/test_typed_effect_algebra.py","EXPERIMENTAL","4+ hlf_mcp imports (36)","YES",""
"tests/test_verification_deepening.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"hlf_mcp/gallery/operator_dashboard.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_routing_stress.py","EXPERIMENTAL","4+ hlf_mcp imports (31)","YES",""
"hlf_mcp/server.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/hlf/routing/__init__.py","EXPERIMENTAL","4+ hlf_mcp imports (29)","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_ecosystem_mcp_bridge.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_gallery_operatorization.py","EXPERIMENTAL","4+ hlf_mcp imports (28)","YES",""
"hlf_mcp/server_core.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/instinct/lifecycle.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_capability_manifest.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_persona_doctrine.py","EXPERIMENTAL","4+ hlf_mcp imports (24)","YES",""
"hlf_mcp/__init__.py","EXPERIMENTAL","4+ hlf_mcp imports (23)","NO","Package init — imports HLFCompiler/HLFRuntime/HLFBytecode at module level, poisons entire import path"
"hlf_mcp/hlf/model_orchestrator.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_ecosystem_rest_bridge.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_proof_artifacts.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"hlf_mcp/hlf/swarm_orchestrator.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_persona_workflows.py","EXPERIMENTAL","4+ hlf_mcp imports (21)","YES",""
"hlf_mcp/gallery/operator_cli.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/server_resources.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/server_translation.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_persona_runtime_proof.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_real_code_bridge_hardening.py","EXPERIMENTAL","4+ hlf_mcp imports (19)","YES",""
"tests/test_two_channel_execution.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_hybrid_rag.py","EXPERIMENTAL","4+ hlf_mcp imports (18)","YES",""
"tests/test_routing_fabric.py","EXPERIMENTAL","4+ hlf_mcp imports (18)","YES",""
"tests/test_translator.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"hlf_mcp/ecosystem/mcp_bridge.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_ethics.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_integration_demo.py","EXPERIMENTAL","4+ hlf_mcp imports (17)","YES",""
"tests/test_operator_dashboard.py","EXPERIMENTAL","4+ hlf_mcp imports (17)","YES",""
"hlf_mcp/ecosystem/rest_bridge.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/server_profiles.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"tests/test_dream_cycle_gating.py","EXPERIMENTAL","4+ hlf_mcp imports (16)","YES",""
"tests/test_fastmcp_frontdoor.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"tests/test_modeltron.py","EXPERIMENTAL","4+ hlf_mcp imports (16)","YES",""
"tests/test_network_isolation.py","EXPERIMENTAL","Imports from VM/DSL module (compiler/runtime/bytecode/translator/grammar/formal_verifier/linter/formatter/codegen)","YES",""
"hlf_mcp/hlf/benchmark.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/hlf/code_execution.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
"hlf_mcp/hlf/governance_orchestrator.py","EXPERIMENTAL","classification_hint=LEAVE","NO","Inside hlf_mcp/ package tree; __init__.py poisons import path"
